run,id,scope,schema,semantic,engine,joint,latency_ms,failed_assertions
local-baseline,core-30-1,core,true,false,true,false,0,value|actionLabel
local-baseline,core-30-2,core,true,false,true,false,0,value|actionLabel
local-baseline,core-30-3,core,true,false,true,false,0,value|actionLabel
local-baseline,core-31-1,core,true,false,true,false,0,actionLabel
local-baseline,core-31-2,core,true,false,true,false,0,actionLabel
local-baseline,core-31-3,core,true,false,true,false,0,actionLabel
local-baseline,core-32-1,core,true,false,true,false,0,visualization|value|unit|progressValue|actionLabel
local-baseline,core-32-2,core,true,false,true,false,0,visualization|value|unit|progressValue|actionLabel
local-baseline,core-32-3,core,true,false,true,false,0,visualization|value|unit|progressValue|actionLabel
local-baseline,core-33-1,core,true,false,true,false,0,value|unit|actionLabel
local-baseline,core-33-2,core,true,false,true,false,0,value|unit|actionLabel
local-baseline,core-33-3,core,true,false,true,false,0,value|unit|actionLabel
local-baseline,core-34-1,core,true,false,true,false,0,value|unit|actionLabel
local-baseline,core-34-2,core,true,false,true,false,0,value|unit|actionLabel
local-baseline,core-34-3,core,true,false,true,false,0,value|unit|actionLabel
local-baseline,core-35-1,core,true,false,true,false,0,value|state|emphasis|actionLabel
local-baseline,core-35-2,core,true,false,true,false,0,value|state|emphasis|actionLabel
local-baseline,core-35-3,core,true,false,true,false,0,value|state|emphasis|actionLabel
local-baseline,core-36-1,core,true,false,true,false,0,unit|actionLabel
local-baseline,core-36-2,core,true,false,true,false,0,unit|actionLabel
local-baseline,core-36-3,core,true,false,true,false,0,unit|actionLabel
local-baseline,core-37-1,core,true,false,true,false,0,value|actionLabel
local-baseline,core-37-2,core,true,false,true,false,0,value|actionLabel
local-baseline,core-37-3,core,true,false,true,false,0,value|actionLabel
local-baseline,core-38-1,core,true,false,true,false,0,value|unit|actionLabel
local-baseline,core-38-2,core,true,false,true,false,0,value|unit|actionLabel
local-baseline,core-38-3,core,true,false,true,false,0,value|unit|actionLabel
local-baseline,core-39-1,core,true,false,true,false,0,unit|actionLabel
local-baseline,core-39-2,core,true,false,true,false,0,unit|actionLabel
local-baseline,core-39-3,core,true,false,true,false,0,unit|actionLabel
local-baseline,core-40-1,core,true,false,true,false,0,unit|actionLabel
local-baseline,core-40-2,core,true,false,true,false,0,unit|actionLabel
local-baseline,core-40-3,core,true,false,true,false,0,unit|actionLabel
local-baseline,boundary-01,boundary,true,,true,,0,
local-baseline,boundary-02,boundary,true,,true,,0,
local-baseline,boundary-03,boundary,true,,true,,0,
local-baseline,boundary-04,boundary,true,,true,,0,
local-baseline,boundary-05,boundary,true,,true,,0,
local-baseline,boundary-06,boundary,true,,true,,0,
local-baseline,boundary-07,boundary,true,,true,,0,
local-baseline,boundary-08,boundary,true,,true,,0,
local-baseline,boundary-09,boundary,true,,true,,0,
local-baseline,boundary-10,boundary,true,,true,,0,
local-baseline,boundary-11,boundary,true,,true,,0,
local-baseline,boundary-12,boundary,true,,true,,0,
qwen-baseline,core-01-1,core,false,false,true,false,2915,domain|visualization|state
qwen-baseline,core-01-2,core,false,false,true,false,4710,domain|visualization|state
